Action1GLZ,-6.6875,-6.375,1.5,-2.3125,-13.3125,5.6875,6.75,4.0625,11.4375,16.3125,-7.0625,-46.125,-28,-9.9375,18.5,40.3125,40.8125,19.25,15.3125,14.0625,14.4375,12.5625,4.75,-1.25,-4.375,-26.0625,-19,-0.5,-13.5,-42.25,-41.9375,-14.3125,-4.0625,-2.25,-11.25,-8.625,5.75,6.875,8.25,5.375,2.0625,-2.125,-7.5,-1.0625,0.3125
Action1GRX,-8.6875,-7.3125,-13.125,0.6875,-1.375,-4.6875,-1.4375,-18.8125,-51.75,-160.75,-70.9375,-94.3125,17.5625,9.5625,-71.4375,-59.875,-39.4375,-13.4375,-51.6875,-13.9375,-23.75,-6.8125,-3.8125,62.625,79,78.3125,64,22.375,21.125,15.8125,-30,47.5,87.3125,12,-0.5,8,5.3125,18.3125,14.8125,8.375,1.5,3.5625,-4.0625,2.9375,7.4375
Action1GRY,-8.6875,-7.3125,-13.125,0.6875,-1.375,-4.6875,-1.4375,-18.8125,-51.75,-160.75,-70.9375,-94.3125,17.5625,9.5625,-71.4375,-59.875,-39.4375,-13.4375,-51.6875,-13.9375,-23.75,-6.8125,-3.8125,62.625,79,78.3125,64,22.375,21.125,15.8125,-30,47.5,87.3125,12,-0.5,8,5.3125,18.3125,14.8125,8.375,1.5,3.5625,-4.0625,2.9375,7.4375
Action1GRZ,-8.6875,-7.3125,-13.125,0.6875,-1.375,-4.6875,-1.4375,-18.8125,-51.75,-160.75,-70.9375,-94.3125,17.5625,9.5625,-71.4375,-59.875,-39.4375,-13.4375,-51.6875,-13.9375,-23.75,-6.8125,-3.8125,62.625,79,78.3125,64,22.375,21.125,15.8125,-30,47.5,87.3125,12,-0.5,8,5.3125,18.3125,14.8125,8.375,1.5,3.5625,-4.0625,2.9375,7.4375
Action1ORL,3.042378,3.044554,3.060148,3.094145,3.109013,3.122243,3.133207,3.11859,3.085786,3.055705,3.030292,2.935378,2.850772,2.786557,2.800007,2.898756,2.974606,3.091522,3.145137,3.18048,3.174022,3.151374,3.101638,3.027152,3.002828,2.992317,2.967032,2.982208,2.971293,2.930716,2.888046,2.898085,2.939811,2.981755,3.020702,3.058192,3.080689,3.096605,3.093577,3.08409,3.08026,3.072232,3.066442,3.055109,3.047186
Action1OPL,2.920963,2.909243,2.902404,2.900509,2.897272,2.909115,2.918628,2.923959,2.925204,2.929857,2.932257,2.924911,2.924417,2.93949,2.978114,3.027648,3.046442,3.056334,3.056453,3.050682,3.048382,3.047137,3.03652,3.013807,2.991382,2.958828,2.920786,2.896893,2.873126,2.850495,2.853699,2.86882,2.877071,2.88663,2.891476,2.897273,2.902868,2.910275,2.914793,2.91209,2.907641,2.901168,2.898154,2.898407,2.9029
Action1OYL,8.244896,8.232566,8.213842,8.177387,8.143672,8.125242,8.125744,8.147892,8.200313,8.260187,8.291157,8.309562,8.340091,8.376894,8.379755,8.353152,8.345985,8.292911,8.262142,8.25195,8.286912,8.334894,8.401516,8.479724,8.503981,8.486709,8.446943,8.432199,8.428477,8.394773,8.362872,8.313797,8.262169,8.209802,8.158736,8.091007,8.06744,8.066117,8.088076,8.112026,8.12306,8.127493,8.124676,8.127797,8.143692
Action1ORR,6.877453,6.887065,6.887654,6.894225,6.907959,6.916142,6.92333,6.955354,6.930818,6.849864,6.630345,6.463732,6.415303,6.438294,7.328882,0.6881218,0.6630399,0.5480067,0.1323526,6.916074,6.009863,5.804203,5.686693,5.698962,5.978262,6.350011,6.63795,6.670965,6.680515,6.755776,6.821405,6.754794,6.836181,6.78802,6.80277,6.847317,6.886585,6.880493,6.862536,6.841065,6.814691,6.789482,6.76848,6.764041,6.76155
Action1OPR,3.25232,3.271564,3.278114,3.272167,3.267174,3.26762,3.267553,3.277618,3.318523,3.475914,4.022049,4.840412,5.836877,6.739398,7.41976,6.881809,6.636568,6.794878,7.158218,7.337365,6.943069,6.580509,6.557236,6.663079,6.649366,6.425475,5.669487,4.804164,4.638069,3.822405,3.503872,3.216897,3.113196,3.112586,3.145884,3.166945,3.179753,3.193445,3.201621,3.203605,3.205691,3.208915,3.213109,3.214711,3.215036
Action1OYR,9.672846,9.654055,9.628402,9.613635,9.595753,9.581641,9.566029,9.5273,9.491771,9.349046,9.336693,9.374247,9.371614,9.342607,0.3432765,3.868318,3.937047,3.895825,3.536948,0.3612006,9.483775,9.28152,9.148857,9.063418,9.238061,9.529251,9.681816,9.668873,9.673506,9.756294,9.662745,9.620527,9.714995,9.817113,9.821795,9.785399,9.752602,9.777214,9.841166,9.882326,9.918086,9.962797,9.982221,9.98991,0.009637452
